NOME MATERIA PRIMA;CÓDIGO;DESCRIÇÃO;U/M;Quantidade por Bobina (Kg ou M2);Diâmetro da bobina nova (mm);Diâmetro do tubete (mm)
BARRIER;42106845;NÃOTECIDO SSMMS BR 10 G/M2 180MM K;M2;3990;;90
BARRIER;42118969;NAO TEC,SSMMS,8GSM,BR,160MM,BA,AVGOL;M²;3920;;90
BARRIER;42126375;NAO TECIDO,SSMMS,7GSM,WH,160MM,BA, AVGOL;M2;4800;;90
CARRIER;42110388;NAO TEC,SSMMS,10G/M2,BR,215MM,NT BCC;M2;4085;;90
CARRIER;42107566;NO TEJ SSMMS BL8G/M2 215MM CIRRASOLPP862;M²;5805;;90
CARRIER;42121797;NAO TEC,SSMMS,8GSM,BR,215MM,CA AVGOL;M²;5267,5;;90
CARRIER;42126404;NAO TEC,SSMMS,7GSM,BR,215MM,CA AVGOL;M²;6450;;90
CARRIER;42114560;NAO TEC,SSMMS,10GSM,BR,215MM,AVGOL;M2;4085;;90
CELULOSE;42101696;PULPA,FLUFF N/TREAT,500MM,730GSM,7,5%,LO;KG;390;;90
FILME DBUND;42108776;FILME SEC FRALDAS TRANSP VAL 1400MM 40U;KG;140;;90
FILME DBUND;42109040;FILME SEC FRALDAS TRANSP VAL 1100MM 40U;KG;110;;90
FILME DBUND;42108778;FILME SEC FRALDAS TRANSP VAL 1550MM 40U;KG;150;;90
FILME DBUND;42123967;FILME LAMINADO,SEC,FRALDA,1400 MM,40U,PC;KG;150;;90
FILME DBUND;42123994;FILME LAMINADO,SEC,FRALDA,1100MM,40U,PCR;KG;103,3;;90
FILME DBUND;42124002;FILME LAMINADO,SEC,FRALDA,1550 MM,40U,PC;KG;163,3;;90
FRONT EAR;42070352;ÑAO TECIDO SMS BR 40 G/M2 75 MM F;M2;425;;90
FRONT EAR;42126539;NAO TEC,SMS,35GSM,BR,75MM,FITESA;M²;367,5;;90
FRONTAL;42110156;NAO TECIDO,LOOP PUB,42GSM,WH,146MM,SHALA;M2;657;;90
FRONTAL;42106774;NO TEJIDO LOOP BL 42G/M2 166MM SHALAG;M²;747;;90
FRONTAL;42122469;NAO TEC,LOOP PUB,42GSM,BR,186MM,SHALAG;M2;732,4;;90
FRONTAL;42123918;NAO TEC,LOOP PUB,42GSM,BR,200MM,SHALAG;M2;675;;90
INNERCOVER;42125840;LAM CLOC,IMP,23GSM,BR,222MM,SHT2 RA BR W;M2;1673,2;;90
INNERCOVER;42125831;LAM CLOC,IMP,23GSM,BR,230MM,SHT2 RA BR W;M2;1700;;90
INNERCOVER;42125933;LAM CLOC,IMP,23GSM,BR,214MM,SHT2 RA BR W;M2;1700;;90
INNERCOVER;42113202;PE,LISO,IMP,BR,14GSM,222MM,XG,SD,B;M2;3700;;90
INNERCOVER;42113280;PE,LISO,IMP,BR,14GSM,230MM,XXG,SD,B;M2;3700;;90
INNERCOVER;42118896;PE,LISO,IMP,BR,14GSM,222MM,XG,B,US;M2;3700;;90
INNERCOVER;42122053;PE,LISO,IMP,BR,14GSM,230MM,XXG,MG T3,BB;M2;4200;;90
INNERCOVER;42122054;PE,LISO,IMP,BR,14GSM,222MM,XG,MG T3,BB;M2;3800;;90
INNERCOVER;42124218;PE,LISO,IMP,BR,14GSM,230MM,XXXG MG T3 BB;M2;4400;;90
INNERCOVER;42126205;PE,LISO,RESP,BR,14GSM,222MM,XG FR T3, BB;M2;4790;;90
INNERCOVER;42126206;PE,LISO,RESP,BR,14GSM,230MM,XXG MG T3, B;M2;4600;;90
INNERCOVER;42125735;PE,LISO,IMP,BR,14GSM,230MM,XXXG FR T3 BB;M²;4050;;90
INNERCOVER;42127215;PE,LISO,IMP,BR,14GSM,222MM,XG,FR T3,BB S;M²;4587,7;;90
INNERCOVER;42127223;PE,LISO,IMP,BR,14GSM,230MM,XXG,FR T3,BB;M²;4600;;90
INNERCOVER;42127224;PE,LISO,IMP,BR,14GSM,230MM,XXXG,FR T3,BB;M²;4770;;90
INNERCOVER;42116600;PE,LISO,RESP,BR,14GSM,160MM,RN,C2,B;M2;4071,8;;90
INNERCOVER;42116599;PE,LISO,RESP,BR,14GSM,186MM,P,C2,B;M2;3945,3;;90
